Team,SP1,SP2,SP3,SP4,SP5,SP6,SP7
ARI,Zac Gallen,Merrill Kelly,Ryne Nelson,Brandon Pfaadt,Corbin Burnes,Michael Soroka,Eduardo Rodriguez
ATH,Jacob Lopez,Jeffrey Springs,Luis Morales,Luis Severino,Aaron Civale,J.T. Ginn,Gage Jump
ATL,Chris Sale,Spencer Strider,Spencer Schwellenbach,Hurston Waldrep,Reynaldo López,Grant Holmes,Bryce Elder
BAL,Kyle Bradish,Trevor Rogers,Shane Baz,Chris Bassitt,Zach Eflin,Dean Kremer,
BOS,Garrett Crochet,Sonny Gray,Ranger Suárez,Connelly Early,Brayan Bello,Johan Oviedo,Patrick Sandoval
CHC,Shota Imanaga,Cade Horton,Matthew Boyd,Edward Cabrera,Jameson Taillon,Justin Steele,Colin Rea
CHW,Shane Smith,Sean Burke,Jordan Hicks,Anthony Kay,Davis Martin,Sean Newcomb,
CIN,Hunter Greene,Chase Burns,Nick Lodolo,Andrew Abbott,Brady Singer,Rhett Lowder,Zach Maxwell
CLE,Gavin Williams,Tanner Bibee,Joey Cantillo,Parker Messick,Slade Cecconi,Logan Allen,
COL,Chase Dollander,Michael Lorenzen,Jose Quintana,,,,
DET,Tarik Skubal,Framber Valdez,Jack Flaherty,Casey Mize,Justin Verlander,Tyler Holton,Drew Anderson
HOU,Hunter Brown,Mike Burrows,Spencer Arrighetti,Cristian Javier,Colton Gordon,Lance McCullers Jr.,Ryan Weiss
KC,Cole Ragans,Kris Bubic,Noah Cameron,Seth Lugo,Michael Wacha,Stephen Kolek,Ryan Bergert
LAA,Grayson Rodriguez,José Soriano,Yusei Kikuchi,Caden Dana,Alek Manoah,,
LAD,Shohei Ohtani,Yoshinobu Yamamoto,Blake Snell,Tyler Glasnow,Emmet Sheehan,Roki Sasaki,Jack Dreyer
MIA,Eury Pérez,Sandy Alcantara,Max Meyer,Braxton Garrett,Janson Junk,Chris Paddack,
MIL,Brandon Woodruff,Jacob Misiorowski,Quinn Priester,Logan Henderson,Chad Patrick,Brandon Sproat,Robert Gasser
MIN,Joe Ryan,Bailey Ober,Zebby Matthews,Simeon Woods Richardson,Taj Bradley,Mick Abel,David Festa
NYM,Freddy Peralta,Nolan McLean,Kodai Senga,Clay Holmes,David Peterson,Sean Manaea,Jonah Tong
NYY,Max Fried,Cam Schlittler,Carlos Rodón,Gerrit Cole,Luis Gil,Ryan Weathers,Will Warren
PHI,Cristopher Sánchez,Jesús Luzardo,Zack Wheeler,Aaron Nola,Andrew Painter,,
PIT,Paul Skenes,Bubba Chandler,Braxton Ashcraft,Mitch Keller,Jared Jones,Hunter Barco,Thomas Harrington
SD,Nick Pivetta,Michael King,Joe Musgrove,JP Sears,Walker Buehler,Griffin Canning,Randy Vásquez
SEA,Bryan Woo,Logan Gilbert,George Kirby,Luis Castillo,Bryce Miller,,
SF,Logan Webb,Robbie Ray,Tyler Mahle,Landen Roupp,Adrian Houser,Hayden Birdsong,Trevor McDonald
STL,Dustin May,Matthew Liberatore,Michael McGreevy,Hunter Dobbins,Richard Fitts,Andre Pallante,
TB,Ryan Pepiot,Drew Rasmussen,Shane McClanahan,Ian Seymour,Nick Martinez,Joe Boyle,
TEX,Jacob deGrom,Nathan Eovaldi,MacKenzie Gore,Jack Leiter,Cody Bradford,Jacob Latz,Jordan Montgomery
TOR,Dylan Cease,Kevin Gausman,Trey Yesavage,Shane Bieber,Cody Ponce,José Berríos,Eric Lauer
WSN,Cade Cavalli,Foster Griffin,Andrew Alvarez,Julian Fernández,Josiah Gray,Jake Irvin,Brad Lord
